Time [s],SE Curr. [A],SE Volt. [V],SE Temp. [K],Chrg Flag,file_name,folder,SE SoC
0.0,0.0,3.48081178,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
6.0,0.0,3.48081178,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
12.0,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
18.0,0.0,3.48081178,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
24.0,0.0,3.4805066,282.95648,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
30.0,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
36.0,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
42.0,0.0,3.4805066,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
48.0,0.0,3.4805066,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
54.0,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
60.0,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
61.01,0.0,3.4805066,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
62.01,0.0,3.48081178,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
63.01,0.0,3.48065919,282.95648,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
64.01,0.0,3.48081178,282.95648,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
65.0,0.0,3.48081178,282.95648,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
66.0,0.0,3.4805066,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
67.0,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
68.0,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
69.0,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
70.0,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
70.28,0.0,3.48081178,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
80.29,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
90.29,0.0,3.48065919,282.95648,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
100.29,0.0,3.48065919,282.95648,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
110.29,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
120.29,0.0,3.48065919,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
130.29,0.0,3.48081178,282.97315999999995,False,TIX2669_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_10C_Rev7.005,CCP,0.15586113145119707
