Time [s],SE Curr. [A],SE Volt. [V],SE Temp. [K],Chrg Flag,file_name,folder,SE SoC
0.0,0.0,3.312047,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
6.0,0.0,3.31158923,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
12.0,0.0,3.31158923,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
18.0,0.0,3.31174182,317.50023,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
24.0,0.0,3.31189441,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
30.0,0.0,3.31158923,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
36.0,0.0,3.31174182,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
42.0,0.0,3.31174182,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
48.0,0.0,3.31189441,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
54.0,0.0,3.31174182,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
60.0,0.0,3.31158923,317.53101,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
61.01,0.0,3.31158923,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
62.01,0.0,3.31143664,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
63.01,0.0,3.31174182,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
64.01,0.0,3.31158923,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
65.0,0.0,3.31174182,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
66.0,0.0,3.31174182,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
67.0,0.0,3.31174182,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
68.0,0.0,3.31158923,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
69.0,0.0,3.31174182,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
70.0,0.0,3.31174182,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
70.37,0.0,3.31174182,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
80.38,0.0,3.31158923,317.51561999999996,False,TIX2665_3_Cell_1-8_EA7479_SDI_50Ah_Test_6_CCP_45C_Rev5.005,CCP,0.038521308449765125
